raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,location_quick_features:mean_abs_lat_deriv,location_quick_features:mean_abs_long_deriv
,,1.033986,,2.192223,,0.012628,-0.09928,,,112.399122,-174.092623,0.000905,0.00048
,-0.180419,,0.034337,2.549563,,,,312.288737,-220.211081,112.299369,-190.512513,,
,-0.254058,1.036122,0.049484,2.932774,0.032047,,-0.1793,,-214.917014,111.98732,-172.586971,7.2e-05,8.4e-05
1.295288,-0.202962,,0.054302,2.772052,,,-0.152305,283.340946,-202.076093,,-162.920465,0.000222,
1.272372,-0.211407,,0.073071,2.568232,0.019997,,-0.180771,281.187413,-193.778092,110.830781,-170.110278,9.7e-05,8.6e-05
,-0.179556,0.964788,0.034396,,,-0.230348,-0.058027,279.644474,-191.10831,98.735071,-178.247208,,
0.994989,-0.183818,0.960172,0.016648,0.57855,0.016871,-0.027884,0.001737,,,94.765194,,0.000489,0.00303
,-0.297426,0.177026,0.930694,,,-0.002322,-0.01924,257.977435,,84.621704,-172.464238,8.5e-05,0.000492
,,0.110537,0.93822,,-0.00043,0.0033,0.000894,,-173.89723,87.628793,-170.563762,9.2e-05,0.000468
0.995841,-0.245195,,0.90436,0.173579,0.00778,-0.011409,0.011443,259.595077,-175.242636,,-174.752672,,6.7e-05
0.990573,,,0.921867,0.097503,0.006191,-6e-06,-0.002301,,-176.229211,78.504363,,1.2e-05,3.6e-05
1.018484,,-0.221387,-0.475001,,0.055403,0.119605,-0.058421,285.361962,,83.716679,-191.735258,7e-06,2.4e-05
1.000885,,,-0.824832,,,,,,-205.937619,59.950702,,6e-06,1.4e-05
1.001677,,,,0.259305,,0.00473,0.01134,300.253824,-204.631057,71.227072,-207.737027,3.5e-05,8.9e-05
1.060345,0.277472,0.921434,-0.168485,1.240254,-0.001348,0.137114,,287.233035,-173.014742,111.917408,-198.039111,,
0.98896,0.129234,0.975783,0.076249,,,0.00386,-0.001207,,-143.960474,,,5e-06,5e-06
0.989616,0.102472,0.975965,0.069618,0.302274,-0.016016,-0.045946,,265.256452,-151.666572,119.113917,-181.486295,4e-06,1.3e-05
,0.100959,0.97951,0.069688,0.014074,0.000389,,0.00067,,-148.190061,119.190863,,5e-06,4e-06
0.991787,0.121842,0.966187,,0.132601,-0.011886,-0.004299,,302.981039,-165.559311,113.737051,-226.761543,,
0.992429,0.182373,,-0.163363,0.182991,,0.014995,-0.004488,,-143.555714,111.937444,,,
1.000196,0.230655,0.459751,-0.848972,0.223252,-0.003624,0.006306,-0.002055,,,94.373215,-209.407016,,0.000208
1.017344,,0.478128,-0.742188,0.840713,-0.006472,-0.002404,,251.234611,-127.839841,84.936097,,,0.0
0.990437,0.14543,,,0.241121,-0.058644,-0.034225,-0.011751,277.572383,,113.29008,-205.780803,9e-06,5.6e-05
0.988315,,0.974099,0.090038,0.059107,,1.8e-05,0.000698,,-144.038592,,-187.976743,9.1e-05,
0.987542,0.181545,,0.080742,0.055407,,,-0.003434,,,,-189.586406,5e-06,
0.993222,,0.864748,-0.262891,0.301651,0.020132,,0.017993,266.482503,-145.070879,106.969396,,7e-06,1.7e-05
0.992265,0.320245,0.834609,-0.391325,,-0.010236,0.047537,-0.014493,269.434651,-140.500487,102.497982,-205.784963,1e-06,2e-06
0.988331,,0.973694,0.106806,0.011785,-0.000848,-0.00163,0.001237,260.80676,,,-180.988086,,4e-06
0.990307,0.168248,0.965145,0.039593,0.248027,0.01707,0.040474,,259.481125,-149.551779,116.415892,-176.641082,9e-06,
0.994466,0.259646,,,0.347099,,,,,-143.218128,,,1.8e-05,0.000155
0.993957,0.357126,0.803316,-0.444243,0.126031,0.017519,-0.014989,0.004163,277.176889,-143.561508,96.24316,-216.591836,1e-06,4e-06
0.992632,0.327587,0.843147,,0.144208,-0.023011,0.010028,-0.014118,267.848777,-139.870385,102.483061,-203.920267,3e-06,
,0.343999,0.833415,-0.354342,,,-0.050055,0.022028,271.753888,,,-206.197467,3e-06,1e-06
,,0.978694,0.095144,0.063329,,0.005292,,260.726339,,118.79313,,,
0.99904,,,-0.104806,0.353096,,-0.006603,-0.009675,263.709638,-147.269587,116.798279,-184.778844,8.8e-05,4.5e-05
0.99349,,0.860663,-0.358073,0.090768,0.003448,-0.001561,0.008666,263.089346,-141.109129,110.026787,-192.863561,3.6e-05,1.4e-05
0.992846,0.241345,0.866717,-0.326599,,0.035119,,,,,105.608021,-210.812611,,
,0.228264,0.555065,-0.692073,0.320297,0.053443,,-0.001773,266.593293,-134.475236,100.981862,-206.691308,,7.1e-05
0.989322,0.122995,0.980785,0.040217,0.016054,,0.000916,0.000359,314.181627,,118.534794,,6e-06,
0.990477,0.176944,0.819151,-0.527719,0.043068,,-0.001693,0.003033,321.666696,-209.584533,,-220.044977,7e-05,0.000201
0.994616,,,-0.101797,0.356704,0.00998,-0.010856,0.010064,313.253309,-209.589684,119.357758,-199.649814,5e-06,6e-06
0.996352,0.066453,,,0.391152,-0.005838,-0.011828,0.010377,288.344321,-152.223063,112.660015,-217.232747,,0.000121
1.008204,,0.985812,,,-0.004272,,-0.020301,292.972359,,118.912279,,3e-06,
,0.185193,,-0.463092,0.053986,,6.7e-05,-0.001321,321.509731,-214.561616,113.220593,-210.966338,4e-06,7e-06
1.005973,,,0.004484,0.493972,-0.025091,,0.012609,,-174.755251,120.990256,-180.327413,5e-06,8e-06
,0.138974,,0.016174,0.132462,-0.018602,0.019821,-0.015638,266.373103,-146.6779,115.708028,,1e-06,
,0.138097,,0.010843,0.13307,,-0.024158,0.005334,262.417286,,118.459553,-180.762385,3e-06,1.4e-05
0.993224,0.23906,,-0.314792,0.290299,0.014276,-0.022108,0.002107,269.959396,-147.1934,,-197.048102,,
,0.08063,0.979799,,0.259301,,,0.010469,267.79473,-166.026094,,-170.092388,2e-06,7e-06
1.001266,0.179552,,-0.577294,0.31621,,,0.009102,274.396664,-140.112683,100.761041,-213.011803,,
0.997461,,0.747564,-0.302426,0.189815,,,-0.032976,264.001198,-138.234821,92.068874,-204.55993,3e-06,
,0.229324,,,0.278331,,-0.010659,-0.004209,290.741127,-152.835997,93.324954,,,4e-06
,0.111664,0.973132,,,0.010382,0.050208,,,,,-219.036493,2e-06,2e-06
0.995191,0.273299,0.887118,,0.355805,-0.024954,0.003089,-0.013149,316.389556,-205.260087,,,8e-06,3e-05
0.998595,,0.973094,-0.013548,,,0.08694,0.005542,,-181.740465,117.300669,-210.4259,5e-06,1e-05
1.008895,0.142438,,-0.069902,,-0.011343,-0.048407,0.015789,284.478164,,120.21589,-201.584405,0.000114,0.000374
,0.179144,0.966031,0.041415,0.290571,0.001741,0.017708,0.008131,300.206686,,120.04388,-216.299984,5e-06,7e-06
1.000115,0.455425,0.173344,-0.871963,0.093601,0.000713,-0.000333,-0.001736,,-201.322159,78.275869,,0.000238,
0.999798,0.502333,,-0.848372,0.146215,0.006706,0.00715,-0.009793,298.829133,,,,1e-06,1e-06
0.998716,0.537778,0.169893,-0.823928,,0.001006,2.5e-05,-0.000726,300.669035,-214.370611,,-198.73806,0.000108,0.000187
1.000637,0.704839,0.000889,-0.703447,0.09601,,0.007107,,300.908458,-202.801698,79.27681,-207.668381,2.6e-05,
,,0.982375,-0.119533,1.428633,,,0.079816,281.267718,,,-187.863164,6.2e-05,
,,-0.005309,-0.264841,,-0.025988,,0.010207,284.54942,-175.235769,66.060583,,7.6e-05,0.000263
1.000071,0.959906,0.034015,-0.276612,0.045531,0.012075,,-0.00527,285.328105,-177.18252,59.378187,-215.610604,0.000137,0.000115
,,,-0.222588,,,0.204219,-0.021256,285.296793,-177.8813,85.113223,-205.075613,,0.000104
,0.209291,0.753439,-0.343386,1.160775,,0.072249,0.10001,284.401374,-166.182976,,-206.952998,,
1.015055,0.0614,-0.275068,,0.201515,-0.001091,0.002143,-0.003098,269.791585,-178.480928,56.721939,-194.174506,2.5e-05,
1.016818,0.072843,-0.327588,,0.446512,0.010298,-0.014321,0.016765,298.288416,,,,0.000142,
1.018418,0.000525,-0.468069,-0.900744,0.299804,-0.0031,-0.031286,-0.058133,,,58.168147,,0.000145,7e-05
,0.662833,0.011304,,0.790855,,0.0765,0.0261,,,68.116819,,2.8e-05,
0.997602,0.282199,0.3278,-0.787669,0.226781,,-0.005801,,299.551291,-204.269649,,-201.974027,,0.000195
1.022516,-0.090219,0.066412,,0.938724,,0.16316,-0.137138,291.184049,,81.036345,-194.573697,3.9e-05,2.6e-05
,,0.895547,0.252015,2.105798,0.023636,-0.113544,0.112344,303.389876,,111.090181,-206.894752,0.000666,0.00371
,,,,,,-0.172365,0.235887,322.494149,-198.127648,119.845439,-224.260305,0.000172,
,,0.921413,0.199059,2.667309,-0.028716,,0.223507,,-189.238605,120.426693,,,
,,,0.217605,2.353994,-0.027622,,,294.609334,-160.429424,106.890531,-222.675396,,5.6e-05
,0.434202,,0.192641,2.604778,-0.027895,-0.09539,0.17909,288.175887,,101.499171,-220.84856,3.9e-05,0.000146
1.00407,,-0.103935,0.975871,,,0.00033,0.009061,269.258432,,38.475638,-190.432634,3.4e-05,
,0.247045,-0.048112,,0.102681,,,,,-195.087874,,-187.189802,,2e-05
0.999694,,,,0.031348,0.000869,-0.000484,0.000481,,-197.165325,30.006637,-189.123977,1e-05,
1.006122,0.328636,,0.910149,0.375892,-0.000583,,-0.002121,274.33298,,29.951645,-184.872869,1.9e-05,6.2e-05
1.001077,0.240858,,0.894525,0.16754,-0.004856,0.010949,0.004966,275.543845,,27.858107,-184.585385,,0.000158
1.009661,0.310674,-0.308622,0.896122,0.203605,,,-0.005179,269.561458,-196.442938,,-182.645802,1.2e-05,1.8e-05
1.001026,0.341739,,,,-0.003183,0.007765,-0.003295,269.679178,-196.334559,,-182.115974,2.5e-05,
,0.363123,-0.248375,0.882837,0.191594,,0.015547,-0.000796,,,38.680899,-180.421646,2.4e-05,7.8e-05
1.008025,0.393744,,0.863129,0.519241,,-0.004299,,271.896696,-199.213374,38.599263,-180.795459,,7.1e-05
1.005378,,-0.305023,0.885848,0.264038,-1.4e-05,0.00149,,273.8047,-200.921262,36.093924,-182.195853,8e-06,5.9e-05
,0.308133,,0.863337,0.11869,0.007598,-0.007036,0.010716,273.646089,-200.347173,27.894769,-183.977965,4.1e-05,0.00016
,0.295361,-0.247173,,0.091727,-0.000585,0.008713,-0.010256,,,,-180.407085,,
1.004819,0.247139,,,0.12299,-0.00601,0.007044,0.004974,,-201.090377,31.152732,-181.964534,6e-05,9.5e-05
1.001479,,-0.27886,,0.077993,0.006853,-0.001465,,271.138655,,31.096674,-181.427633,2.7e-05,
,0.411215,-0.129923,0.898612,0.074747,-0.004839,,0.003077,269.374176,-196.828812,41.554984,-179.120686,,0.000173
,0.375425,,0.901949,,-0.00371,,,269.625957,,36.536418,,,4.2e-05
1.014358,0.424295,-0.246878,,0.519659,,,-0.001022,273.93641,,45.606709,-179.267341,9e-06,1.3e-05
1.020327,0.433406,-0.254024,0.859634,0.470189,1.5e-05,,0.008774,276.085265,,45.994425,,0.00011,9.3e-05
1.008863,,-0.191088,0.873247,0.559162,0.004699,-0.0014,-0.006902,,,47.641844,,,
1.017901,0.484157,-0.226362,0.845298,0.641324,,,0.001992,277.98657,-207.03429,53.857233,-177.451738,3.4e-05,
1.01675,,,,0.862425,,-0.004229,,,-205.898559,,,5.6e-05,
,,-0.114399,,0.740543,-0.01601,,-0.014222,270.046911,,64.12243,-175.870782,,0.000194
,0.411906,,0.852666,0.175466,-0.008035,,,274.884776,-203.496614,48.77579,,,
0.997758,,,0.877096,,,-0.000201,0.00167,274.905208,-201.650301,41.015293,,,4e-05
1.000341,0.315755,,0.878367,0.033264,0.000747,,-0.000944,,,39.118065,-183.00006,,6e-05
1.000704,0.455366,-0.152493,0.863481,0.136237,-0.001052,,,,,,,0.000318,6.6e-05
1.003477,0.299063,-0.379923,0.878836,0.053266,0.001181,0.000258,,263.142782,-191.525303,29.182607,-178.045636,9e-06,2e-05
1.004463,0.292533,-0.362715,0.887402,,,,-0.001523,,,31.260372,-176.865744,,3.8e-05
1.099974,0.52428,,0.100338,1.582771,0.016144,-0.014261,0.096751,,-177.822067,96.732334,,8.3e-05,3.7e-05
,0.633035,,,1.996483,0.015819,-0.002343,0.101344,,-207.742297,112.500793,-191.590268,7.4e-05,
,,0.80322,0.084535,2.470926,0.000632,-0.079474,0.156248,290.76983,,104.910601,-184.327855,,0.000105
1.25675,0.632336,0.804012,0.077406,2.628344,,-0.049296,0.201322,280.235655,-186.870782,,-184.051604,6.4e-05,
,,0.824941,,2.48209,,,0.189215,282.646696,-191.634755,99.918681,-181.363563,,8e-05
1.082308,0.181563,0.971575,0.089174,,,-0.008496,0.10481,330.260596,,114.482002,-206.581265,,0.004087
0.999815,0.191291,0.082355,,0.328825,0.000808,-0.006702,-0.027163,278.376167,-190.121735,,-186.780001,0.000359,0.002066
0.994009,0.176562,,0.97071,0.031123,,0.001302,0.002839,,-172.495379,,-165.507616,0.000104,
0.988976,0.156386,0.113488,0.961725,0.276029,0.002993,-0.003823,-0.005622,,-178.035606,76.357325,-178.831538,3e-06,2e-06
0.984504,0.212194,0.153537,,0.133223,-0.008382,0.0019,0.006657,250.076031,-168.968005,74.240555,,,3e-06
0.990056,,0.160505,,0.054068,0.0007,0.00014,0.002892,250.623553,-168.18102,72.677116,-170.992909,,7.4e-05
0.994261,,,0.959457,0.041694,0.003576,,-0.001617,223.385998,-147.453725,72.794773,-151.117797,0.000151,
0.997853,0.168666,0.084617,0.977421,0.318988,,0.000125,0.009581,260.553624,-172.578863,,,0.000123,0.000509
0.996439,,0.154522,0.962248,0.454778,0.002029,0.006001,0.028065,271.382313,-184.050772,72.495514,-185.673748,7.2e-05,0.000186
0.999912,0.570083,-0.030257,0.820352,0.049764,,-0.001059,,290.289422,-195.215568,,,0.000139,
